Номер;Тип;Модель;Типоразмер;Диаметр ММ;Производительность м3/ч;Давление(па);Мощность(ВТ);Уровень шума;Цена в рублях
10278;ВР;ВР 45-280-100-4;ВР 45-280-100;900;2223 - 3437;544 - 1098;2200;108;178 900
10279;ВР;ВР 45-280-100-1;ВР 45-280-100;900;1309 - 26376;352 - 411;250;63;187 400
10280;ВКОП;ВКОП 56-355-140-4;ВКОП 56-355-140;1120;1713 - 15657;86 - 746;750;109;109 500
10281;ВКОП;ВКОП 50-315-125-4;ВКОП 50-315-125;1000;1479 - 27390;81 - 1951;15000;98;299 900
10282;ВО;ВО 45-280-100-4;ВО 45-280-100;900;2346 - 27113;205 - 977;11000;95;308 800
10283;Ц;Ц 35-200-063-3;Ц 35-200-063;630;830 - 16188;251 - 3342;1100;76;299 500
10284;УВО;УВО 56-355-140-5;УВО 56-355-140;1120;811 - 13593;157 - 2836;5500;90;147 100
10285;ВЦ;ВЦ 40-250-080-3;ВЦ 40-250-080;800;1329 - 16422;415 - 2548;3000;95;172 600
10286;Ц;Ц 40-250-080-1;Ц 40-250-080;800;3928 - 6388;370 - 1188;5500;107;119 900
10287;ВР;ВР 50-315-125-5;ВР 50-315-125;1000;425 - 27011;480 - 3369;15000;91;285 900
10288;ВКОП;ВКОП 45-280-100-3;ВКОП 45-280-100;900;998 - 24917;450 - 508;15000;100;101 000
10289;ВЦ;ВЦ 35-200-063-2;ВЦ 35-200-063;630;3069 - 4225;303 - 603;550;82;242 600
10290;ВКОП;ВКОП 30-160-040-3;ВКОП 30-160-040;400;695 - 7780;141 - 1866;7500;85;304 100
10291;ВЦ;ВЦ 35-200-063-2;ВЦ 35-200-063;630;2167 - 28108;40 - 1883;370;69;279 800
10292;УВО;УВО 50-315-125-4;УВО 50-315-125;1000;620 - 15507;480 - 1402;11000;80;49 800
10293;ВЦ;ВЦ 56-355-140-3;ВЦ 56-355-140;1120;930 - 24246;509 - 1203;5500;106;57 300
10294;Ц;Ц 35-200-063-2;Ц 35-200-063;630;2296 - 20744;143 - 2188;11000;86;287 100
10295;ВЦ;ВЦ 30-160-050-2;ВЦ 30-160-050;500;3674 - 18539;75 - 714;11000;82;208 500
10296;ВО;ВО 30-160-040-4;ВО 30-160-040;400;2822 - 10928;628 - 951;1500;92;206 900
10297;ВЦ;ВЦ 35-200-063-4;ВЦ 35-200-063;630;716 - 12208;468 - 739;1100;84;290 000
10298;УВО;УВО 30-160-050-1;УВО 30-160-050;500;2993 - 10183;486 - 3076;250;85;101 300
10299;ВР;ВР 50-315-125-3;ВР 50-315-125;1000;334 - 22563;229 - 1888;370;75;179 900
10300;ВКОП;ВКОП 50-315-125-5;ВКОП 50-315-125;1000;3766 - 19708;271 - 704;550;69;74 000
10301;Ц;Ц 40-250-080-4;Ц 40-250-080;800;1998 - 16766;455 - 1827;1100;101;47 200
10302;ВР;ВР 30-160-050-2;ВР 30-160-050;500;1337 - 6974;156 - 3038;2200;96;190 500
10303;ВО;ВО 35-200-063-2;ВО 35-200-063;630;3072 - 9033;552 - 3655;2200;64;289 500
10304;УВО;УВО 50-315-125-1;УВО 50-315-125;1000;1697 - 20351;109 - 1141;4000;62;219 500
10305;ВЦ;ВЦ 30-160-050-2;ВЦ 30-160-050;500;674 - 8500;427 - 2293;4000;108;338 600
10306;ВЦ;ВЦ 35-200-063-3;ВЦ 35-200-063;630;1560 - 29328;421 - 1017;2200;67;210 300
10307;ВКОП;ВКОП 30-160-040-4;ВКОП 30-160-040;400;245 - 24831;396 - 3172;1500;91;49 400
10308;ВР;ВР 30-160-050-5;ВР 30-160-050;500;1729 - 3412;615 - 2297;4000;91;184 900
10309;ВР;ВР 30-160-040-2;ВР 30-160-040;400;3363 - 10120;391 - 3200;5500;97;331 300
10310;УВО;УВО 40-250-080-2;УВО 40-250-080;800;1502 - 20395;446 - 2940;550;85;174 200
10311;ВР;ВР 40-250-080-1;ВР 40-250-080;800;343 - 13389;231 - 1652;7500;82;77 900
10312;ВР;ВР 30-160-040-4;ВР 30-160-040;400;3478 - 28926;641 - 3784;3000;104;235 400
10313;ВКОП;ВКОП 56-355-140-5;ВКОП 56-355-140;1120;1022 - 17074;573 - 1648;5500;81;159 200
10314;ВКОП;ВКОП 56-355-140-2;ВКОП 56-355-140;1120;2060 - 28860;242 - 1386;15000;76;220 200
10315;УВО;УВО 50-315-125-1;УВО 50-315-125;1000;2940 - 5607;544 - 2327;11000;70;103 700
10316;ВО;ВО 35-200-063-4;ВО 35-200-063;630;3326 - 6748;446 - 1631;7500;84;85 300
10317;ВР;ВР 30-160-050-4;ВР 30-160-050;500;3354 - 14843;294 - 963;15000;69;111 800
10318;Ц;Ц 56-355-140-3;Ц 56-355-140;1120;3898 - 29753;500 - 710;11000;103;312 400
10319;ВКОП;ВКОП 30-160-040-1;ВКОП 30-160-040;400;1304 - 19106;150 - 887;5500;106;277 100
10320;ВКОП;ВКОП 45-280-100-5;ВКОП 45-280-100;900;2392 - 11820;84 - 2409;5500;102;176 600
10321;ВО;ВО 40-250-080-3;ВО 40-250-080;800;2468 - 24792;162 - 768;2200;92;102 600
10322;ВЦ;ВЦ 56-355-140-5;ВЦ 56-355-140;1120;1222 - 1993;54 - 2238;250;80;315 000
10323;УВО;УВО 56-355-140-5;УВО 56-355-140;1120;2690 - 3580;377 - 3107;4000;62;331 500
10324;ВКОП;ВКОП 35-200-063-1;ВКОП 35-200-063;630;988 - 8586;329 - 3296;250;81;62 400
10325;УВО;УВО 56-355-140-1;УВО 56-355-140;1120;3046 - 27195;89 - 1527;2200;105;161 000
10326;ВР;ВР 50-315-125-5;ВР 50-315-125;1000;3151 - 30638;482 - 2954;5500;62;141 600
10327;ВКОП;ВКОП 56-355-140-2;ВКОП 56-355-140;1120;480 - 4165;460 - 3383;2200;96;204 100
10328;ВЦ;ВЦ 30-160-040-2;ВЦ 30-160-040;400;2806 - 5766;204 - 1444;2200;88;266 200
10329;ВР;ВР 30-160-050-5;ВР 30-160-050;500;670 - 6053;395 - 2763;4000;72;252 900
10330;ВО;ВО 30-160-040-4;ВО 30-160-040;400;3551 - 30551;313 - 2910;4000;95;183 100
10331;УВО;УВО 50-315-125-3;УВО 50-315-125;1000;2652 - 5604;216 - 1858;250;97;122 900
10332;ВКОП;ВКОП 30-160-050-2;ВКОП 30-160-050;500;523 - 24746;305 - 3406;2200;83;263 700
10333;Ц;Ц 35-200-063-4;Ц 35-200-063;630;3130 - 7561;469 - 2119;1500;91;313 500
10334;Ц;Ц 30-160-040-2;Ц 30-160-040;400;292 - 10144;628 - 3232;1500;63;203 900
10335;ВО;ВО 45-280-100-5;ВО 45-280-100;900;2966 - 28166;445 - 1685;7500;66;253 600
10336;ВР;ВР 35-200-063-1;ВР 35-200-063;630;2364 - 15499;187 - 3202;11000;96;214 300
10337;ВО;ВО 56-355-140-2;ВО 56-355-140;1120;3349 - 8013;271 - 415;3000;69;187 100
10338;Ц;Ц 45-280-100-4;Ц 45-280-100;900;1779 - 10624;136 - 949;2200;66;159 000
10339;Ц;Ц 56-355-140-5;Ц 56-355-140;1120;1691 - 28888;411 - 2468;1100;80;330 200
10340;ВЦ;ВЦ 30-160-040-5;ВЦ 30-160-040;400;3255 - 4191;370 - 2484;750;96;173 600
10341;ВР;ВР 30-160-040-5;ВР 30-160-040;400;1098 - 13689;317 - 2961;1100;69;293 400
10342;УВО;УВО 45-280-100-3;УВО 45-280-100;900;2512 - 20894;562 - 1123;5500;71;52 900
10343;ВЦ;ВЦ 45-280-100-4;ВЦ 45-280-100;900;1727 - 14708;240 - 1018;1500;102;262 400
10344;ВО;ВО 40-250-080-4;ВО 40-250-080;800;3019 - 8867;182 - 1215;2200;94;168 700
10345;ВКОП;ВКОП 56-355-140-2;ВКОП 56-355-140;1120;2125 - 13781;276 - 1367;370;94;152 900
10346;УВО;УВО 50-315-125-5;УВО 50-315-125;1000;3082 - 28242;392 - 1831;7500;90;339 100
10347;Ц;Ц 56-355-140-1;Ц 56-355-140;1120;859 - 27030;177 - 2332;250;65;283 200
10348;ВЦ;ВЦ 30-160-040-1;ВЦ 30-160-040;400;1922 - 6680;617 - 1880;1500;61;115 000
10349;Ц;Ц 40-250-080-5;Ц 40-250-080;800;1372 - 10636;505 - 1469;15000;83;156 900
10350;ВР;ВР 30-160-040-3;ВР 30-160-040;400;3052 - 11636;114 - 289;11000;73;142 600
10351;ВО;ВО 50-315-125-1;ВО 50-315-125;1000;3587 - 21407;481 - 3246;11000;87;290 700
10352;УВО;УВО 50-315-125-1;УВО 50-315-125;1000;3839 - 18250;472 - 3142;3000;107;179 700
10353;ВЦ;ВЦ 40-250-080-2;ВЦ 40-250-080;800;3276 - 5471;139 - 514;7500;63;199 800
10354;ВКОП;ВКОП 45-280-100-2;ВКОП 45-280-100;900;2286 - 10988;292 - 3379;3000;95;135 900
10355;ВЦ;ВЦ 30-160-040-1;ВЦ 30-160-040;400;2831 - 21230;497 - 2467;11000;90;226 200
10356;Ц;Ц 30-160-050-2;Ц 30-160-050;500;3749 - 28725;329 - 962;550;80;156 000
10357;УВО;УВО 30-160-050-5;УВО 30-160-050;500;731 - 5619;310 - 884;1500;108;303 200
10358;ВЦ;ВЦ 40-250-080-2;ВЦ 40-250-080;800;2067 - 17515;298 - 1831;3000;103;222 700
10359;ВКОП;ВКОП 30-160-050-1;ВКОП 30-160-050;500;2896 - 29758;573 - 2775;1500;71;93 800
10360;ВКОП;ВКОП 35-200-063-5;ВКОП 35-200-063;630;1465 - 16119;75 - 1055;11000;84;144 400
10361;УВО;УВО 30-160-050-5;УВО 30-160-050;500;3587 - 17070;587 - 2640;4000;92;201 000
10362;ВО;ВО 56-355-140-1;ВО 56-355-140;1120;3305 - 28318;332 - 2274;1500;104;338 800
10363;ВО;ВО 35-200-063-5;ВО 35-200-063;630;3442 - 23408;358 - 2239;15000;90;74 300
10364;ВЦ;ВЦ 45-280-100-2;ВЦ 45-280-100;900;2995 - 22819;221 - 2426;1500;75;113 500
10365;Ц;Ц 50-315-125-1;Ц 50-315-125;1000;815 - 11710;357 - 2075;370;86;293 600
10366;УВО;УВО 35-200-063-4;УВО 35-200-063;630;3256 - 18341;503 - 2704;7500;110;80 700
10367;УВО;УВО 56-355-140-5;УВО 56-355-140;1120;2316 - 28617;484 - 1415;11000;86;86 100
10368;ВО;ВО 56-355-140-5;ВО 56-355-140;1120;1533 - 22296;337 - 2997;1500;110;115 800
10369;Ц;Ц 30-160-040-1;Ц 30-160-040;400;3117 - 21976;383 - 3498;3000;71;165 400
10370;Ц;Ц 35-200-063-1;Ц 35-200-063;630;557 - 21332;327 - 2263;750;91;300 500
10371;УВО;УВО 40-250-080-2;УВО 40-250-080;800;1842 - 24450;241 - 2360;15000;97;243 700
10372;ВР;ВР 35-200-063-5;ВР 35-200-063;630;2748 - 19417;515 - 2900;370;105;295 900
10373;УВО;УВО 50-315-125-2;УВО 50-315-125;1000;3518 - 30045;178 - 311;250;95;109 600
10374;ВКОП;ВКОП 56-355-140-1;ВКОП 56-355-140;1120;599 - 25424;301 - 1079;4000;86;263 200
10375;УВО;УВО 30-160-040-4;УВО 30-160-040;400;946 - 11923;127 - 1495;3000;80;223 300
10376;ВКОП;ВКОП 35-200-063-5;ВКОП 35-200-063;630;3342 - 28573;83 - 2447;11000;85;278 400
10377;ВКОП;ВКОП 50-315-125-1;ВКОП 50-315-125;1000;2918 - 20170;48 - 104;11000;76;230 000
10378;УВО;УВО 50-315-125-4;УВО 50-315-125;1000;3887 - 10396;319 - 1010;7500;71;298 600
10379;Ц;Ц 50-315-125-3;Ц 50-315-125;1000;3790 - 27905;643 - 2307;2200;82;112 300
10380;УВО;УВО 35-200-063-5;УВО 35-200-063;630;1012 - 2982;393 - 913;3000;67;288 600
10381;ВО;ВО 50-315-125-3;ВО 50-315-125;1000;461 - 6860;262 - 1360;750;108;168 200
10382;ВР;ВР 30-160-050-4;ВР 30-160-050;500;2097 - 14824;498 - 3332;3000;91;277 900
10383;ВО;ВО 35-200-063-2;ВО 35-200-063;630;1789 - 28476;382 - 2611;3000;80;70 200
10384;ВО;ВО 50-315-125-1;ВО 50-315-125;1000;237 - 10552;644 - 2486;5500;65;179 600
10385;ВКОП;ВКОП 40-250-080-4;ВКОП 40-250-080;800;507 - 21636;226 - 2364;250;110;261 400
10386;ВКОП;ВКОП 50-315-125-5;ВКОП 50-315-125;1000;2642 - 4296;532 - 1664;2200;85;261 100
10387;УВО;УВО 56-355-140-4;УВО 56-355-140;1120;3610 - 26015;319 - 2312;550;110;92 200
10388;ВЦ;ВЦ 30-160-040-2;ВЦ 30-160-040;400;1387 - 27054;275 - 1833;2200;87;307 300
10389;Ц;Ц 56-355-140-2;Ц 56-355-140;1120;3405 - 28000;91 - 1034;550;82;148 400
10390;ВЦ;ВЦ 56-355-140-5;ВЦ 56-355-140;1120;1722 - 25655;187 - 1721;1500;94;278 500
10391;Ц;Ц 50-315-125-4;Ц 50-315-125;1000;2205 - 9484;367 - 3404;250;90;338 700
10392;ВКОП;ВКОП 50-315-125-1;ВКОП 50-315-125;1000;2908 - 19766;220 - 2410;11000;74;200 900
10393;ВЦ;ВЦ 56-355-140-4;ВЦ 56-355-140;1120;1297 - 25587;465 - 3583;7500;64;141 100
10394;Ц;Ц 40-250-080-1;Ц 40-250-080;800;1266 - 21734;249 - 2987;2200;102;169 000
10395;ВКОП;ВКОП 56-355-140-5;ВКОП 56-355-140;1120;1817 - 8085;491 - 1908;2200;104;201 200
10396;ВР;ВР 30-160-050-5;ВР 30-160-050;500;3753 - 29223;79 - 2517;1500;64;221 600
10397;ВЦ;ВЦ 40-250-080-2;ВЦ 40-250-080;800;267 - 2787;443 - 1315;2200;69;106 900
10398;ВКОП;ВКОП 35-200-063-1;ВКОП 35-200-063;630;1792 - 10778;97 - 1971;4000;89;74 000
10399;ВР;ВР 56-355-140-5;ВР 56-355-140;1120;642 - 4104;249 - 3333;7500;83;147 400
10400;Ц;Ц 50-315-125-4;Ц 50-315-125;1000;3266 - 24468;292 - 2817;2200;83;128 900
10401;ВЦ;ВЦ 50-315-125-2;ВЦ 50-315-125;1000;3335 - 30108;649 - 1997;5500;107;330 200
10402;ВЦ;ВЦ 40-250-080-4;ВЦ 40-250-080;800;2120 - 25458;102 - 1522;1500;79;315 900
10403;УВО;УВО 45-280-100-1;УВО 45-280-100;900;2142 - 5563;226 - 3116;5500;98;246 400
10404;УВО;УВО 56-355-140-5;УВО 56-355-140;1120;593 - 11764;339 - 3271;4000;71;295 700
10405;ВКОП;ВКОП 30-160-040-2;ВКОП 30-160-040;400;2550 - 11153;262 - 3160;370;73;112 400
10406;ВЦ;ВЦ 45-280-100-5;ВЦ 45-280-100;900;998 - 16930;308 - 2081;250;70;78 700
10407;ВО;ВО 40-250-080-5;ВО 40-250-080;800;3658 - 21713;334 - 694;1500;91;297 700
10408;ВКОП;ВКОП 50-315-125-2;ВКОП 50-315-125;1000;3238 - 23645;109 - 2314;1100;71;241 200
10409;ВКОП;ВКОП 50-315-125-5;ВКОП 50-315-125;1000;1646 - 28245;463 - 3596;370;90;273 400
10410;Ц;Ц 35-200-063-3;Ц 35-200-063;630;2485 - 22646;200 - 885;750;104;238 200
10411;ВР;ВР 30-160-050-5;ВР 30-160-050;500;1523 - 20254;542 - 3328;250;87;147 200
10412;ВКОП;ВКОП 56-355-140-2;ВКОП 56-355-140;1120;3344 - 8688;600 - 3572;550;98;161 800
10413;ВО;ВО 35-200-063-2;ВО 35-200-063;630;2424 - 17303;579 - 3137;3000;66;241 300
10414;Ц;Ц 30-160-050-3;Ц 30-160-050;500;3488 - 23603;459 - 1739;3000;70;260 200
10415;УВО;УВО 50-315-125-3;УВО 50-315-125;1000;3683 - 28350;550 - 1689;2200;77;233 700
10416;ВР;ВР 30-160-040-4;ВР 30-160-040;400;3003 - 8447;572 - 1627;370;108;50 100
10417;ВКОП;ВКОП 45-280-100-3;ВКОП 45-280-100;900;3173 - 26095;90 - 2295;4000;63;328 000
10418;ВЦ;ВЦ 35-200-063-4;ВЦ 35-200-063;630;3231 - 13905;399 - 3521;250;107;222 400
10419;УВО;УВО 30-160-040-1;УВО 30-160-040;400;1510 - 19369;50 - 545;250;95;336 500
10420;Ц;Ц 56-355-140-4;Ц 56-355-140;1120;2192 - 22173;543 - 1657;1100;91;273 100
10421;ВКОП;ВКОП 45-280-100-2;ВКОП 45-280-100;900;2029 - 19941;601 - 2399;2200;72;246 300
10422;Ц;Ц 35-200-063-4;Ц 35-200-063;630;3324 - 14653;288 - 1236;750;79;277 800
10423;ВЦ;ВЦ 35-200-063-5;ВЦ 35-200-063;630;1872 - 9871;243 - 2257;5500;69;126 900
10424;Ц;Ц 40-250-080-2;Ц 40-250-080;800;2256 - 6506;116 - 1578;250;71;159 500
10425;ВЦ;ВЦ 35-200-063-2;ВЦ 35-200-063;630;2450 - 23882;550 - 1603;1100;80;71 300
10426;ВР;ВР 30-160-050-1;ВР 30-160-050;500;2658 - 12653;48 - 1406;7500;60;177 300
10427;ВЦ;ВЦ 30-160-050-4;ВЦ 30-160-050;500;308 - 21265;529 - 3206;5500;87;130 900
10428;УВО;УВО 30-160-040-3;УВО 30-160-040;400;1655 - 21406;538 - 2434;750;86;242 900
10429;ВКОП;ВКОП 45-280-100-5;ВКОП 45-280-100;900;3276 - 28072;364 - 2792;370;98;336 800
10430;ВКОП;ВКОП 40-250-080-3;ВКОП 40-250-080;800;2185 - 26300;277 - 1919;2200;83;152 400
10431;УВО;УВО 40-250-080-5;УВО 40-250-080;800;2359 - 14330;576 - 2470;15000;79;310 200
10432;Ц;Ц 45-280-100-3;Ц 45-280-100;900;3899 - 25848;410 - 2314;370;75;104 300
10433;Ц;Ц 45-280-100-5;Ц 45-280-100;900;1236 - 10335;310 - 3320;5500;84;78 800
10434;ВЦ;ВЦ 30-160-050-5;ВЦ 30-160-050;500;1511 - 7944;387 - 2398;1100;90;294 900
10435;ВЦ;ВЦ 35-200-063-2;ВЦ 35-200-063;630;1996 - 23474;201 - 576;550;74;311 100
10436;ВР;ВР 45-280-100-4;ВР 45-280-100;900;2020 - 14617;432 - 779;15000;99;87 600
10437;УВО;УВО 56-355-140-5;УВО 56-355-140;1120;3610 - 21121;520 - 1930;1500;91;326 900
10438;ВО;ВО 30-160-050-2;ВО 30-160-050;500;3534 - 23519;81 - 2749;15000;61;76 300
10439;ВР;ВР 45-280-100-1;ВР 45-280-100;900;1509 - 11402;399 - 3477;370;88;165 600
10440;ВЦ;ВЦ 35-200-063-5;ВЦ 35-200-063;630;1692 - 11510;73 - 1444;11000;96;80 200
10441;УВО;УВО 30-160-050-3;УВО 30-160-050;500;1440 - 7998;337 - 2061;550;102;291 000
10442;ВКОП;ВКОП 30-160-050-2;ВКОП 30-160-050;500;2698 - 10875;292 - 568;15000;108;258 000
10443;ВР;ВР 30-160-050-2;ВР 30-160-050;500;1723 - 28156;239 - 3212;1500;99;292 600
10444;ВР;ВР 56-355-140-5;ВР 56-355-140;1120;2946 - 21196;60 - 2446;2200;70;309 100
10445;ВО;ВО 50-315-125-1;ВО 50-315-125;1000;2634 - 16350;40 - 2241;3000;95;301 200
10446;Ц;Ц 35-200-063-4;Ц 35-200-063;630;2265 - 24117;605 - 1254;15000;104;294 600
10447;ВО;ВО 40-250-080-4;ВО 40-250-080;800;1213 - 3266;642 - 2612;3000;74;315 200
10448;Ц;Ц 30-160-050-4;Ц 30-160-050;500;3663 - 16772;461 - 622;5500;91;306 400
10449;УВО;УВО 56-355-140-3;УВО 56-355-140;1120;1572 - 2436;96 - 2956;7500;78;190 400
10450;ВР;ВР 50-315-125-1;ВР 50-315-125;1000;2017 - 25594;183 - 2693;2200;70;59 200
10451;Ц;Ц 30-160-040-1;Ц 30-160-040;400;2008 - 22567;276 - 3236;550;104;122 300
10452;ВЦ;ВЦ 35-200-063-2;ВЦ 35-200-063;630;2037 - 19471;202 - 1667;1100;84;169 500
10453;ВКОП;ВКОП 35-200-063-5;ВКОП 35-200-063;630;1446 - 23923;120 - 3192;1500;87;307 000
10454;ВКОП;ВКОП 30-160-040-4;ВКОП 30-160-040;400;2010 - 12978;248 - 2690;4000;109;276 800
10455;ВО;ВО 35-200-063-3;ВО 35-200-063;630;2467 - 5934;644 - 2959;3000;102;62 900
10456;УВО;УВО 50-315-125-5;УВО 50-315-125;1000;1445 - 2179;546 - 1944;11000;80;150 100
10457;Ц;Ц 45-280-100-1;Ц 45-280-100;900;1693 - 8608;441 - 1878;5500;100;295 200
10458;ВО;ВО 40-250-080-5;ВО 40-250-080;800;1088 - 21878;419 - 605;15000;89;57 600
10459;ВР;ВР 30-160-040-2;ВР 30-160-040;400;3690 - 5679;458 - 2990;2200;88;140 200
10460;ВКОП;ВКОП 56-355-140-2;ВКОП 56-355-140;1120;2390 - 6388;365 - 2004;4000;75;334 800
10461;ВЦ;ВЦ 56-355-140-1;ВЦ 56-355-140;1120;3591 - 10092;535 - 2717;1500;74;280 800
10462;УВО;УВО 56-355-140-5;УВО 56-355-140;1120;3357 - 8955;154 - 1386;11000;96;134 400
10463;ВР;ВР 30-160-040-2;ВР 30-160-040;400;2137 - 6026;530 - 1568;250;87;145 700
10464;УВО;УВО 30-160-040-5;УВО 30-160-040;400;1723 - 19612;260 - 446;2200;95;181 700
10465;Ц;Ц 45-280-100-2;Ц 45-280-100;900;3724 - 18152;568 - 1124;2200;88;129 800
10466;ВО;ВО 45-280-100-4;ВО 45-280-100;900;1943 - 13452;463 - 701;2200;90;297 000
10467;ВР;ВР 35-200-063-5;ВР 35-200-063;630;1657 - 16866;289 - 3349;15000;110;216 500
10468;ВР;ВР 30-160-040-1;ВР 30-160-040;400;1504 - 26417;492 - 2513;7500;68;230 400
10469;ВКОП;ВКОП 35-200-063-1;ВКОП 35-200-063;630;932 - 12186;585 - 3301;5500;107;308 200
10470;УВО;УВО 30-160-040-1;УВО 30-160-040;400;2773 - 20986;367 - 1749;4000;88;124 200
10471;ВО;ВО 35-200-063-4;ВО 35-200-063;630;2263 - 12329;408 - 2393;7500;69;69 300
10472;УВО;УВО 30-160-040-2;УВО 30-160-040;400;1380 - 5620;56 - 1278;370;83;76 000
10473;ВЦ;ВЦ 50-315-125-3;ВЦ 50-315-125;1000;2575 - 11093;159 - 1872;2200;60;319 200
10474;Ц;Ц 30-160-040-4;Ц 30-160-040;400;3339 - 26138;157 - 559;1500;100;237 200
10475;Ц;Ц 40-250-080-4;Ц 40-250-080;800;565 - 8633;331 - 449;11000;77;275 900
10476;Ц;Ц 50-315-125-3;Ц 50-315-125;1000;384 - 2263;82 - 1409;1500;95;202 700
10477;ВКОП;ВКОП 50-315-125-5;ВКОП 50-315-125;1000;2605 - 7619;173 - 2787;3000;61;257 900
10478;УВО;УВО 45-280-100-1;УВО 45-280-100;900;3996 - 25821;433 - 1753;5500;110;206 300
10479;УВО;УВО 30-160-050-3;УВО 30-160-050;500;1990 - 23760;396 - 3473;11000;101;310 300
10480;ВКОП;ВКОП 50-315-125-2;ВКОП 50-315-125;1000;3429 - 25405;443 - 1357;4000;73;256 500
10481;ВР;ВР 40-250-080-2;ВР 40-250-080;800;3766 - 9664;351 - 1887;1500;109;312 300
10482;Ц;Ц 30-160-040-4;Ц 30-160-040;400;357 - 18026;266 - 1281;1500;64;200 600
10483;Ц;Ц 50-315-125-2;Ц 50-315-125;1000;1267 - 10684;456 - 2150;11000;75;63 400
10484;ВКОП;ВКОП 50-315-125-1;ВКОП 50-315-125;1000;1264 - 13461;256 - 2729;11000;95;54 500
10485;ВР;ВР 50-315-125-5;ВР 50-315-125;1000;3754 - 29177;596 - 3663;2200;91;131 800
10486;ВР;ВР 30-160-040-3;ВР 30-160-040;400;241 - 23266;629 - 2221;370;107;274 300
10487;ВКОП;ВКОП 45-280-100-5;ВКОП 45-280-100;900;2256 - 17430;255 - 606;3000;60;307 700
10488;ВКОП;ВКОП 40-250-080-4;ВКОП 40-250-080;800;2384 - 21265;145 - 1107;250;74;331 000
10489;ВР;ВР 40-250-080-5;ВР 40-250-080;800;644 - 23405;224 - 2524;370;83;73 600
10490;ВКОП;ВКОП 40-250-080-3;ВКОП 40-250-080;800;1533 - 10589;458 - 2085;550;83;275 200
10491;ВО;ВО 30-160-040-2;ВО 30-160-040;400;3747 - 15688;264 - 2041;370;68;276 400
10492;ВЦ;ВЦ 45-280-100-5;ВЦ 45-280-100;900;2053 - 15485;216 - 928;15000;108;230 900
10493;ВЦ;ВЦ 56-355-140-5;ВЦ 56-355-140;1120;1465 - 17965;326 - 1866;250;95;76 400
10494;Ц;Ц 45-280-100-5;Ц 45-280-100;900;2726 - 28904;502 - 1042;3000;74;160 500
10495;ВКОП;ВКОП 56-355-140-3;ВКОП 56-355-140;1120;3370 - 20124;136 - 1923;250;77;135 400
10496;ВЦ;ВЦ 56-355-140-1;ВЦ 56-355-140;1120;1285 - 29122;298 - 2182;370;86;219 500
10497;ВКОП;ВКОП 56-355-140-3;ВКОП 56-355-140;1120;1275 - 26877;147 - 1712;550;87;181 900
10498;ВР;ВР 35-200-063-5;ВР 35-200-063;630;3230 - 24467;186 - 2691;15000;86;194 800
10499;Ц;Ц 35-200-063-3;Ц 35-200-063;630;553 - 22675;627 - 1146;750;106;287 600
10500;УВО;УВО 30-160-040-3;УВО 30-160-040;400;2636 - 19716;536 - 2341;550;61;144 200
10501;УВО;УВО 56-355-140-2;УВО 56-355-140;1120;2019 - 10597;648 - 2304;1500;107;131 300
10502;ВР;ВР 30-160-050-4;ВР 30-160-050;500;2944 - 17104;42 - 2979;15000;91;192 400
10503;Ц;Ц 50-315-125-1;Ц 50-315-125;1000;1473 - 16278;307 - 3481;1100;60;134 300
10504;ВЦ;ВЦ 50-315-125-1;ВЦ 50-315-125;1000;979 - 13023;235 - 1441;550;80;230 100
10505;ВР;ВР 40-250-080-1;ВР 40-250-080;800;2481 - 9451;186 - 1998;11000;69;91 200
10506;ВО;ВО 45-280-100-3;ВО 45-280-100;900;703 - 23745;408 - 1869;370;60;229 300
10507;ВР;ВР 30-160-050-3;ВР 30-160-050;500;3365 - 8497;532 - 1971;250;83;255 700
10508;УВО;УВО 45-280-100-1;УВО 45-280-100;900;2291 - 11765;578 - 1332;11000;60;274 900
10509;ВО;ВО 40-250-080-1;ВО 40-250-080;800;819 - 14140;232 - 1123;1100;62;141 600
10510;Ц;Ц 45-280-100-2;Ц 45-280-100;900;2201 - 20051;147 - 3200;15000;75;124 400
10511;ВЦ;ВЦ 40-250-080-2;ВЦ 40-250-080;800;2048 - 10656;289 - 972;2200;68;280 300
10512;ВЦ;ВЦ 50-315-125-4;ВЦ 50-315-125;1000;1998 - 12047;484 - 3050;1500;92;311 700
10513;ВКОП;ВКОП 45-280-100-3;ВКОП 45-280-100;900;3322 - 16431;590 - 2468;7500;105;285 000
10514;ВР;ВР 45-280-100-2;ВР 45-280-100;900;2555 - 12542;314 - 2850;5500;72;83 200
10515;ВО;ВО 40-250-080-4;ВО 40-250-080;800;1619 - 22998;546 - 1239;11000;108;256 400
10516;ВЦ;ВЦ 45-280-100-3;ВЦ 45-280-100;900;3105 - 30310;44 - 2906;1500;74;256 900
10517;Ц;Ц 40-250-080-4;Ц 40-250-080;800;2846 - 19775;254 - 3430;550;62;145 300
10518;ВКОП;ВКОП 40-250-080-1;ВКОП 40-250-080;800;3894 - 27762;251 - 740;3000;88;52 700
10519;ВР;ВР 30-160-050-3;ВР 30-160-050;500;368 - 7663;607 - 3444;4000;74;144 300
10520;ВО;ВО 30-160-040-3;ВО 30-160-040;400;3458 - 25740;138 - 2285;250;66;253 600
10521;ВЦ;ВЦ 35-200-063-5;ВЦ 35-200-063;630;3549 - 4420;201 - 1273;2200;68;326 900
